fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120210,321,4,3,1,4577,1
20120209,321,4,3,1,3346,1
20120208,321,4,1,74,1371,2
20120212,321,4,3,1,5311,1
20120209,321,4,3,1,4583,1
20120215,321,4,3,1,5315,1
20120219,321,4,3,1,5311,3
20120216,321,4,3,1,5317,1
20120221,321,4,3,2,3346,1
20120220,321,4,3,2,4328,1
20120224,321,4,3,1,4577,1
20120224,321,4,3,1,5312,1
20120303,321,4,3,1,4589,1
20120309,321,4,3,1,302,1
20120307,321,4,3,1,4577,2
20120308,321,4,3,1,4577,1
20120305,321,4,3,1,3346,2
20120306,321,4,3,3,4596,1
20120309,321,4,3,1,4596,2
20120306,321,4,3,1,3346,1
20120306,321,4,3,1,4589,2
20120314,321,4,3,1,302,1
20120315,321,4,3,1,4573,3
20120320,321,4,3,1,302,1
20120321,321,4,3,4,5331,1
20120323,321,4,3,1,4328,1
20120321,321,4,3,1,4328,1
20120320,321,4,3,2,4573,1
20120321,321,4,3,3,5324,1
20120323,321,4,3,1,4577,1
20120322,321,4,3,1,5339,1
20120324,321,4,1,74,5331,1
20120403,321,4,3,1,5315,1
20120327,321,4,3,1,4589,2
20120329,321,4,3,1,4589,1
20120412,321,4,3,3,4328,2
20120413,321,4,3,1,3346,3
20120413,321,4,3,1,5331,3
20120411,321,4,3,1,4582,1
20120413,321,4,3,1,4577,1
20120418,321,4,3,1,5330,1
20120424,321,4,3,1,302,1
20120430,321,4,3,1,302,1
20120430,321,4,3,1,5311,2
20120428,321,4,3,3,5311,1
20120429,321,4,3,1,5342,1
20120507,321,4,3,1,5331,2
20120511,321,4,3,1,4582,1
20120509,321,4,3,1,5311,1
20120510,321,4,3,1,5343,2
20120510,321,4,3,1,5330,1
20120521,321,4,3,2,4582,1
20120519,321,4,1,74,5351,1
20120519,321,4,3,1,5343,1
20120521,321,4,3,1,5346,1
20120525,321,4,3,1,5356,1
20120524,321,4,3,1,3346,1
20120526,321,4,3,1,5357,1
20120529,321,4,3,2,302,1
20120528,321,4,3,1,5311,1
20120603,321,4,3,1,4328,1
20120601,321,4,3,1,1371,3
20120601,321,4,3,1,5347,1
20120602,321,4,3,4,5343,1
20120606,321,4,3,2,4328,1
20120608,321,4,3,1,5362,1
20120607,321,4,3,1,5343,1
20120613,321,4,3,2,5347,1
20120615,321,4,1,74,5347,1
20120612,321,4,3,1,5343,1
20120628,321,4,3,2,3476,1
20120627,321,4,3,2,3476,1
20120706,321,4,3,1,5351,1
20120712,321,4,3,1,5365,1
20120707,321,4,3,1,1371,1
20120713,321,4,3,1,3725,3
20120713,321,4,3,1,5361,1
20120711,321,4,3,1,5351,1
20120712,321,4,3,1,5311,1
20120719,321,4,1,74,4328,1
20120718,321,4,3,1,3476,1
20120719,321,4,1,61,5311,1
20120717,321,4,1,61,5381,1
20120717,321,4,3,1,5330,1
20120725,321,4,1,61,5351,1
