fecha,plan,sede,depto,ciudad,vendedor,cantidad
20130407,153,1,1,37,7159,1
20130419,153,1,1,40,7159,1
20130424,153,1,1,40,1095,1
20130426,153,1,1,81,1095,1
20130506,153,1,1,52,7164,1
20130515,153,1,1,53,7123,1
20130522,153,1,1,40,102,1
20130525,153,1,1,53,5243,2
20130520,153,1,1,40,1095,1
20130612,153,1,1,40,1095,1
20130614,153,1,1,58,123,4
20130612,153,1,1,53,7159,1
20130620,153,1,1,51,7123,6
20130625,153,1,1,53,7109,1
20130705,153,1,1,40,7159,1
20130712,153,1,1,43,7109,1
20130719,153,1,1,40,7096,1
20130719,153,1,1,40,7159,2
20130722,153,1,1,51,7164,2
20130725,153,1,1,39,7164,1
20130723,153,1,1,40,7096,1
20130725,153,1,1,39,7123,1
20130802,153,1,1,45,1131,1
20130731,153,1,1,40,7096,1
20130806,153,1,1,40,7201,1
20130817,153,1,1,43,7201,1
20130822,153,1,1,40,5243,1
20130824,153,1,1,40,1131,1
20130907,153,1,1,40,7181,1
20130907,153,1,1,40,1131,1
20130914,153,1,1,43,7201,3
20130912,153,1,1,41,5243,2
20130911,153,1,1,40,7219,1
20130912,153,1,1,43,7096,1
20131001,153,1,1,40,3872,1
20131007,153,1,1,43,7159,1
20131011,153,1,1,53,7219,1
20131009,153,1,1,53,5243,1
20131015,153,1,1,40,7164,2
20131015,153,1,1,40,7201,2
20131017,153,1,1,40,7201,2
20131024,153,1,1,43,3872,1
20131023,153,1,1,45,7208,1
20131109,153,1,1,40,3872,1
20131105,153,1,1,40,7181,1
20131118,153,1,1,42,102,1
20131121,153,1,1,40,102,1
20131128,153,1,1,53,5243,4
20131211,153,1,1,40,7241,7
20130215,153,1,1,46,6108,1
20130219,153,1,2,30,123,7
20130410,153,1,1,46,1131,1
20130410,153,1,2,30,5243,1
20130424,153,1,1,48,7159,3
20130426,153,1,1,46,1131,1
20130425,153,1,2,31,5243,1
20130426,153,1,1,50,7096,1
20130513,153,1,1,53,5243,1
20130517,153,1,1,46,1131,1
20130516,153,1,2,33,5243,1
20130524,153,1,1,50,7096,1
20130611,153,1,2,22,1131,3
20130625,153,1,1,72,7159,1
20130703,153,1,2,30,1131,1
20130812,153,1,1,53,7203,1
20130809,153,1,1,53,7203,3
20130912,153,1,1,63,7159,3
20130911,153,1,1,63,7159,1
20130919,153,1,2,30,1131,1
20120301,143,1,1,52,6255,2
20120209,143,1,1,40,5157,1
20120211,143,1,1,40,6108,1
20120215,143,1,1,40,1095,1
20120217,143,1,1,40,5157,1
20120229,143,1,1,40,6257,1
20120302,143,1,1,40,131,1
20120304,143,1,1,52,6255,2
20120311,143,1,1,42,123,1
20120315,143,1,1,52,6259,1
20120323,143,1,1,50,1095,1
20120402,143,1,1,40,6257,1
20120402,143,1,1,53,123,1
20120331,143,1,1,40,6108,1
20120416,143,1,1,51,6108,1
20120421,143,1,1,40,1095,1
20120419,143,1,1,40,1095,1
20120504,143,1,1,58,5243,1
20120504,143,1,1,40,6108,1
20120520,143,1,1,40,1095,1
20120518,143,1,1,40,5157,1
20120528,143,1,1,43,7016,1
20120530,143,1,1,40,1131,1
20120601,143,1,1,40,1131,1
20120610,143,1,1,43,6090,1
20120609,143,1,1,41,6108,1
20120615,143,1,1,62,123,1
20120629,143,1,1,40,7016,2
20120719,143,1,1,40,7016,1
20120724,143,1,1,40,6259,1
20120802,143,1,1,53,1095,1
20120801,143,1,1,45,6108,1
20120815,143,1,1,40,7016,1
20120826,143,1,1,40,5243,1
20120831,143,1,1,41,7016,1
20120831,143,1,1,40,1095,1
20120907,143,1,1,45,6090,2
20120909,143,1,1,40,1095,3
20120913,143,1,1,43,6108,1
20120912,143,1,1,40,1095,1
20120922,143,1,1,53,5243,1
20120928,143,1,1,40,6090,3
20121012,143,1,1,40,1095,2
20121009,143,1,1,40,1095,1
20121018,143,1,1,53,123,1
20121019,143,1,1,67,1095,1
20121118,143,1,1,53,123,2
20121118,143,1,1,40,1095,2
20121123,143,1,1,40,1095,2
20121130,143,1,1,40,6108,1
20130108,143,1,1,40,7108,1
20121217,143,1,1,40,6108,1
20130124,143,1,1,42,7109,1
20130124,143,1,1,40,5243,2
20120215,143,1,2,21,5080,1
20120216,143,1,2,30,5243,5
20120308,143,1,1,63,6257,1
20120320,143,1,2,30,5243,1
20120413,143,1,2,31,123,3
20120515,143,1,1,56,5157,1
20120610,143,1,1,63,6090,4
20120613,143,1,1,46,7051,2
20120615,143,1,2,33,5243,1
20120627,143,1,2,22,1131,2
20120726,143,1,2,32,5243,1
20120823,143,1,1,50,5753,1
20120823,143,1,1,50,1095,1
