depto,ciudad,fecha,,vendedor,cantidad
1,67,20170930,6,4003,2
1,67,20170902,6,4440,1
1,67,20170724,5,1279,1
1,67,20171108,6,1027,1
1,67,20180203,5,4266,1
1,67,20171121,5,1002,1
1,67,20121031,6,1030,1
1,67,20130515,6,4056,1
1,67,20130804,6,4131,1
1,67,20130725,6,1223,1
1,67,20140919,5,1812,2
1,67,20150307,5,1812,1
1,67,20150207,5,1812,1
1,67,20150226,6,1678,1
1,67,20151210,6,4003,2
1,67,20150511,6,1730,1
1,67,20151210,6,8210,1
1,67,20150430,6,1819,1
1,67,20150730,5,1077,1
1,67,20151022,5,4051,1
1,67,20160412,5,4051,1
1,67,20151105,6,3030,1
1,67,20160922,6,1769,1
1,67,20160423,6,4051,5
1,67,20170408,5,1069,1
1,67,20160907,5,1812,1
1,67,20161220,6,1812,2
1,67,20120528,6,1643,1
1,67,20121127,5,1678,1
1,67,20130301,6,1963,1
1,67,20131021,6,471,1
1,67,20130315,6,1760,3
1,67,20130924,5,1640,1
1,67,20130611,5,1022,1
1,67,20130628,6,1963,1
1,67,20140408,6,1678,1
1,67,20140318,6,1678,1
1,67,20131127,6,1161,2
1,67,20140128,6,4042,1
1,67,20140124,6,1246,1
1,67,20140609,6,1769,1
1,67,20140729,6,1818,1
1,67,20140520,6,692,1
1,67,20140206,5,4067,1
1,67,20141104,6,4138,1
1,67,20140805,5,1025,2
1,67,20141202,5,3066,1
1,67,20141016,6,3069,1
1,67,20150223,6,1714,1
1,67,20141216,6,1888,2
1,67,20141101,6,1161,2
1,67,20150304,6,1812,7
1,67,20150307,6,1812,1
1,67,20151211,6,4051,6
1,67,20150316,5,1677,1
1,67,20150601,5,1002,1
1,67,20150311,6,1036,1
1,67,20150804,6,1743,1
1,67,20151005,5,4051,4
1,67,20150515,6,1023,3
1,67,20151120,6,4051,4
1,67,20151022,6,4290,1
1,67,20150926,5,1161,1
1,67,20150814,6,1046,1
1,67,20150228,5,4056,2
1,67,20150507,6,4281,1
1,67,20150727,6,1030,1
1,67,20151022,6,1756,1
1,67,20150317,6,1161,2
1,67,20150417,5,1985,2
1,67,20150601,5,439,1
1,67,20151030,6,1046,1
