depto,ciudad,fecha,demografia,vendedor,cantidad
3,2,20141115,6,1304,1
3,1,20140709,6,1304,1
3,1,20140520,6,1304,1
1,74,20170325,6,1304,1
3,1,20140218,6,1304,1
3,1,20150602,6,1304,1
3,1,20170325,6,1304,1
3,1,20160915,6,1304,1
3,3,20160406,6,1304,1
3,1,20150205,6,1304,1
3,1,20170214,7,1304,1
3,2,20161213,7,1304,1
3,1,20170220,7,1304,1
3,1,20180213,8,1304,1
3,1,20170222,8,1304,1
3,2,20140805,8,1304,1
3,1,20170607,8,1304,2
3,2,20160627,8,1304,1
3,1,20150225,8,1304,1
3,1,20140728,8,1304,1
3,2,20130114,8,1304,1
3,2,20140402,8,1304,1
3,3,20161108,8,1304,1
3,1,20140904,9,1304,1
3,1,20140716,10,1304,1
3,1,20190222,10,1304,1
3,1,20140930,10,1304,1
3,1,20160727,10,1304,1
6,3,20160427,1,1304,1
3,2,20121130,1,1304,1
3,2,20180222,1,1304,1
6,5,20121123,1,1304,1
6,3,20130708,1,1304,1
6,3,20141128,1,1304,1
3,1,20180301,1,1304,1
3,1,20130921,2,1305,1
3,4,20130718,3,1305,1
3,1,20140619,4,1305,1
3,1,20140304,4,1305,1
3,1,20121214,4,1305,1
3,1,20130527,4,1305,1
3,1,20160316,4,1305,1
3,2,20150512,4,1305,1
3,1,20140922,6,1305,1
3,2,20120712,6,1305,1
1,41,20150907,6,1305,1
3,1,20160412,6,1305,1
3,1,20160518,6,1305,1
3,1,20140819,6,1305,1
3,1,20160229,6,1305,1
3,2,20120427,6,1305,1
3,1,20161005,6,1305,1
3,2,20120719,6,1305,1
3,1,20160125,10,1305,1
3,1,20150504,2,1306,1
3,1,20150922,2,1306,1
3,2,20140610,3,1306,1
3,2,20120612,3,1306,1
3,1,20161202,4,1306,1
3,1,20160914,4,1306,1
3,2,20121212,4,1306,2
3,2,20140529,4,1306,1
3,2,20150703,4,1306,3
3,2,20150228,4,1306,2
3,2,20140205,4,1306,2
3,2,20160301,4,1306,1
3,1,20131115,5,1306,3
3,1,20150601,5,1306,1
3,1,20150806,5,1306,2
3,1,20140118,5,1306,1
3,1,20140203,5,1306,1
3,1,20130323,6,1306,1
3,2,20141007,8,1306,2
3,2,20160617,8,1306,1
3,3,20160808,8,1306,2
3,3,20180201,8,1306,1
3,1,20161227,9,1306,1
3,1,20150120,9,1306,2
3,1,20150424,10,1306,1
3,1,20160829,1,1306,2
3,1,20140805,3,1307,1
3,1,,4,1307,1
3,1,20140731,4,1307,1
3,2,20140805,7,1307,1
3,1,20140820,1,1308,1
3,1,20160215,1,1308,1
3,2,20171120,3,1308,1
1,74,20170731,3,1308,1
3,1,20130429,3,1308,1
3,1,20140903,3,1308,2
3,1,20121022,3,1308,1
1,74,20170504,3,1308,1
3,1,20151111,4,1308,1
3,1,20150504,4,1308,1
3,1,20160406,4,1308,1
3,1,20141126,4,1308,1
3,1,20120413,4,1308,1
3,1,20140407,4,1308,1
3,1,20140127,4,1308,1
3,1,20151028,4,1308,1
3,1,20150617,4,1308,1
3,1,20161212,4,1308,2
3,4,20151216,4,1308,1
3,1,20161003,4,1308,1
3,1,20170527,4,1308,1
3,2,20180129,4,1308,1
3,1,20140224,4,1308,1
3,1,20160323,4,1308,1
3,1,20141112,4,1308,1
3,1,20160810,4,1308,1
3,3,20150722,4,1308,1
3,3,20170116,4,1308,1
3,1,20170522,4,1308,1
3,1,20130615,4,1308,1
3,1,20150411,4,1308,1
3,1,20140526,6,1308,1
3,1,20140813,6,1308,1
3,1,20130128,6,1308,1
3,1,20170227,6,1308,1
3,1,20150411,6,1308,1
3,1,20150415,6,1308,1
3,1,20161104,6,1308,1
3,1,20141001,6,1308,1
3,1,20161121,6,1308,1
3,3,20160127,8,1308,1
3,3,20150506,8,1308,1
3,1,20140604,8,1308,1
3,2,20180212,8,1308,1
3,1,20150115,10,1308,1
3,1,20161125,10,1308,1
4,8,20151230,1,1308,1
3,1,20180112,1,1308,1
1,61,20120917,1,1309,1
1,61,20150305,1,1309,1
3,1,20170907,1,1309,1
3,1,20150805,1,1309,1
3,1,20140903,1,1309,1
3,1,20151117,1,1309,1
3,1,20161024,1,1309,1
3,1,20160224,1,1309,1
3,1,20150130,1,1309,2
3,1,20030204,1,1309,1
3,1,20120317,1,1309,1
3,1,20140123,1,1309,1
3,1,,1,1309,1
3,1,20170815,1,1309,1
3,1,20140905,1,1309,1
1,74,20150224,1,1309,1
3,1,20170725,1,1309,1
3,1,20151104,1,1309,1
1,74,20180111,1,1309,1
3,1,20160319,1,1309,1
3,1,20170601,1,1309,1
3,1,20170427,1,1309,1
3,1,20141206,1,1309,1
1,74,20151105,1,1309,1
3,1,20160422,1,1309,1
3,1,20120831,1,1309,1
3,1,20141021,1,1309,1
3,1,20170726,1,1309,1
3,2,20160503,1,1309,1
3,1,20160312,1,1309,1
3,1,20170830,1,1309,1
3,1,20170518,1,1309,1
3,1,20170822,1,1309,5
3,1,20130517,1,1309,1
3,1,20160316,1,1309,1
3,1,20141101,1,1309,2
1,74,20170804,1,1309,1
3,1,20151111,1,1309,1
3,1,20160226,1,1309,1
1,74,20160512,1,1309,1
3,1,20151103,1,1309,1
3,1,20150105,1,1309,1
1,74,20140927,2,1309,1
1,74,20160204,2,1309,2
1,89,20170926,2,1309,1
1,74,20150219,2,1309,1
1,74,20170127,2,1309,1
1,89,20170502,2,1309,1
3,1,,2,1309,2
3,1,20130712,2,1309,1
