depto,ciudad,fecha,demografia,vendedor,cantidad
1,54,20120723,1,102,1
1,54,20140724,1,102,1
1,81,20130726,1,102,1
1,81,20140904,1,102,2
1,81,20121030,1,102,1
2,33,20130516,1,102,1
2,33,20171114,1,102,1
2,33,20140815,1,102,1
2,29,20120309,1,102,1
2,29,20131116,1,102,1
2,29,20130806,1,102,1
2,10,20130731,1,102,2
2,29,20131114,1,102,1
2,28,,1,102,2
2,28,20120614,1,102,1
2,28,20120706,1,102,1
1,41,20150303,1,102,1
2,29,20131220,1,102,1
2,28,20140804,1,102,1
2,30,,1,102,5
1,54,20141113,1,102,1
2,30,20140731,1,102,1
1,41,20121211,1,102,1
2,33,20140224,1,102,1
2,33,20130828,1,102,1
2,30,20130816,1,102,1
2,30,20140718,1,102,1
2,30,20140724,1,102,1
2,33,20130318,1,102,1
2,29,20121030,1,102,1
2,29,20130102,1,102,1
2,29,20130306,1,102,1
2,29,20130311,1,102,2
2,29,20131202,1,102,1
2,28,20131101,1,102,1
2,28,20130413,1,102,1
2,28,20140910,1,102,1
2,29,20140625,1,102,1
1,60,20130621,1,102,1
2,30,20140703,1,102,1
1,41,20140724,1,102,1
1,81,20130621,1,102,1
1,45,20131028,1,102,1
1,39,20120926,1,102,1
1,60,20140626,1,102,1
1,40,20130627,1,102,1
1,48,20130809,1,102,1
2,33,20130222,1,102,1
2,29,20120222,1,102,1
2,29,20150715,1,102,1
1,60,20130205,1,102,1
2,11,20140719,1,102,1
2,11,20120822,1,102,1
2,28,20120605,1,102,1
2,28,20121026,1,102,1
2,28,20120731,1,102,1
2,28,20120910,1,102,1
2,23,20140625,1,102,1
2,29,20130409,1,102,1
2,29,20130411,1,102,1
1,40,20131211,1,102,1
2,30,20140626,1,102,1
1,45,20171220,1,102,1
2,30,20130802,1,102,1
1,41,20131017,1,102,1
1,50,20140326,1,102,1
1,60,20130315,1,102,1
2,33,,1,102,1
2,33,20130520,1,102,1
2,33,20131129,1,102,1
2,29,20130528,1,102,1
2,29,20130726,1,102,1
2,12,20130517,1,102,1
2,29,20121116,1,102,1
2,28,20121017,1,102,1
2,28,20140918,1,102,1
2,28,20120608,1,102,1
2,28,20120821,1,102,1
2,28,20161015,1,102,1
2,28,20130214,1,102,1
2,29,20140716,1,102,1
1,41,20170210,1,102,2
2,30,20121113,1,102,1
1,54,20130408,1,102,1
1,41,20130911,1,102,1
2,33,20130523,1,102,1
2,29,20120727,1,102,1
2,29,20130719,1,102,3
2,29,20130227,1,102,1
2,29,20120920,1,102,1
2,29,20140120,1,102,1
2,11,20120601,1,102,1
2,10,20120910,1,102,1
2,12,20130611,1,102,1
2,29,20130318,1,102,1
2,29,20140703,1,102,1
2,28,20121003,1,102,2
1,41,20121030,1,102,1
1,58,20140806,1,102,1
2,23,20140526,1,102,1
1,60,20121019,1,102,1
1,54,20120717,1,102,1
1,54,20120828,1,102,1
1,41,20120705,1,102,1
2,65,20120323,1,102,1
1,51,20141118,1,102,1
2,33,20130614,1,102,1
2,33,20131108,1,102,1
2,30,20130828,1,102,1
2,30,20140715,1,102,1
2,33,20131015,1,102,2
2,29,20140609,1,102,3
2,29,20130516,1,102,1
2,29,20130321,1,102,1
2,29,20130129,1,102,1
2,29,20140317,1,102,1
2,29,20140715,1,102,1
2,29,20121010,1,102,3
2,29,20140611,1,102,1
2,12,20120718,1,102,1
2,10,20121128,1,102,1
2,28,20120727,1,102,1
2,28,20130704,1,102,1
2,28,20130909,1,102,1
2,28,20131209,1,102,1
2,28,20120723,1,102,1
2,28,20140715,1,102,1
2,29,20130515,1,102,1
2,30,20130723,1,102,1
1,42,,1,102,1
2,30,20140808,1,102,1
1,41,20130516,1,102,1
1,81,20121102,1,102,1
2,33,20120801,1,102,1
2,33,20160413,1,102,1
2,30,20130214,1,102,1
2,33,20131017,1,102,2
1,63,20130129,1,102,1
2,29,20130709,1,102,1
2,29,,1,102,4
2,29,20130617,1,102,2
2,29,20140808,1,102,1
2,29,20140725,1,102,1
2,12,20121128,1,102,1
2,28,20120711,1,102,1
2,29,20120607,1,102,1
1,41,20160127,1,102,1
1,58,20130219,1,102,1
2,29,20130219,1,102,1
1,40,20121016,1,102,2
1,81,20130909,1,102,1
2,65,20130508,1,102,2
1,39,,1,102,1
2,33,20130619,1,102,1
2,33,20131128,1,102,1
1,41,20120201,1,102,1
1,40,20130624,1,102,1
1,46,20130911,1,102,1
1,39,20121029,1,102,1
2,33,20131011,1,102,1
2,33,20130226,1,102,1
2,29,20120712,1,102,1
2,28,20130201,1,102,1
2,28,20120922,1,102,1
1,41,20131112,1,102,1
2,23,20131227,1,102,1
1,45,20130514,1,102,1
1,81,20130902,1,102,1
1,50,20140829,1,102,1
1,39,20130611,1,102,1
1,42,20160118,1,102,1
1,81,20140624,1,102,1
2,30,20140711,1,102,1
2,21,20140612,1,102,1
2,33,20131210,1,102,1
2,29,20120726,1,102,1
2,29,20130611,1,102,1
2,29,20121102,1,102,1
2,10,20130318,1,102,1
2,10,20121130,1,102,1
2,28,20121228,1,102,1
2,28,20140301,1,102,1
2,28,20140616,1,102,1
2,29,20171213,1,102,1
1,58,20140905,1,102,1
1,41,20130911,4,102,1
1,41,20131121,4,102,1
1,41,20150214,4,102,1
1,41,20130416,4,102,2
1,41,20131123,4,102,1
1,41,20120626,4,102,1
1,41,20130111,4,102,1
1,41,20141009,4,102,2
1,41,20130612,4,102,1
1,41,20131003,4,102,1
1,41,,4,102,29
1,41,20130308,4,102,1
1,41,20130802,4,102,2
1,41,20130904,4,102,1
1,41,20131204,4,102,1
1,41,20131219,4,102,1
1,41,20130401,4,102,1
1,41,20121127,4,102,1
1,41,20140626,4,102,1
1,41,20130418,4,102,2
1,36,20150708,4,102,1
1,41,20171213,4,102,1
1,40,,4,102,80
1,41,20130617,4,102,1
1,41,20130114,4,102,1
1,41,20121103,4,102,1
1,41,20130706,4,102,1
1,41,20130523,4,102,1
1,41,20130801,4,102,2
1,41,20140209,4,102,1
1,52,20131129,4,102,1
1,41,20140308,4,102,1
1,41,20130710,4,102,1
1,41,20131029,4,102,3
1,41,20130529,4,102,1
1,40,20120924,4,102,1
1,40,20120628,4,102,1
1,40,20121107,4,102,2
1,40,20140122,4,102,1
1,40,20130429,4,102,3
2,65,20130412,4,102,1
1,40,20131204,4,102,2
1,40,20161004,4,102,1
1,41,20130130,4,102,3
1,41,20130716,4,102,1
1,41,20140601,4,102,1
1,41,20140715,4,102,1
1,41,20140627,4,102,1
1,40,20130321,4,102,1
1,40,20130423,4,102,1
