fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120809,143,3,1,89,3725,6
20120621,143,3,1,67,1997,2
20120627,143,3,1,67,3792,3
20120626,143,3,1,41,3529,1
20120627,143,3,1,67,1997,1
20120629,143,3,1,75,939,1
20120630,143,3,1,75,3673,1
20120704,143,3,1,77,3673,4
20120704,143,3,1,77,3693,1
20120706,143,3,1,69,3673,1
20120705,143,3,1,41,3529,1
20120706,143,3,1,41,1997,1
20120702,143,3,1,73,3529,1
20120706,143,3,1,70,3529,1
20120712,143,3,1,67,3529,2
20120712,143,3,1,77,3673,1
20120711,143,3,1,41,1997,4
20120710,143,3,1,67,1997,1
20120713,143,3,1,87,3792,2
20120716,143,3,1,67,939,1
20120726,143,3,1,71,1997,1
20120725,143,3,1,41,3798,1
20120930,143,3,1,41,3799,2
20121005,143,3,1,76,3799,3
20121002,143,3,1,41,3798,2
20121008,143,3,1,67,3801,1
20121011,143,3,1,76,3673,2
20121011,143,3,1,76,3815,1
20120814,143,3,1,64,3529,1
20120817,143,3,1,89,3725,1
20120823,143,3,1,70,3529,1
20120824,143,3,1,67,3737,1
20120817,143,3,1,67,3798,2
20120823,143,3,1,41,3799,2
20120823,143,3,1,41,3798,2
20120821,143,3,1,67,939,1
20120831,143,3,1,67,3673,2
20120830,143,3,1,41,3673,1
20120827,143,3,1,67,3737,1
20120901,143,3,1,67,939,2
20120828,143,3,1,75,939,1
20120930,143,3,1,67,3801,1
20120907,143,3,1,69,3725,2
20120906,143,3,1,79,939,4
20120913,143,3,1,86,3725,1
20120913,143,3,1,70,3673,1
20120908,143,3,1,67,1997,1
20120913,143,3,1,67,3737,2
20120913,143,3,1,71,3529,1
20120916,143,3,1,41,3798,2
20120918,143,3,1,87,3725,1
20120917,143,3,1,41,3798,1
20120927,143,3,1,67,3693,1
20120926,143,3,1,77,3725,1
20121017,143,3,1,67,3725,2
20121020,143,3,1,67,3822,4
20121024,143,3,1,67,3673,3
20121023,143,3,1,67,3801,1
20121023,143,3,1,75,3725,3
20121025,143,3,1,77,3725,1
20121031,143,3,1,71,3693,1
20121031,143,3,1,87,1997,3
20121030,143,3,1,67,939,2
20121108,143,3,1,67,3737,5
20121103,143,3,1,87,1997,1
20121105,143,3,1,67,3801,1
20121115,143,3,1,67,3693,4
20121115,143,3,1,76,3673,2
20121124,143,3,1,88,3737,2
20121124,143,3,1,76,3529,1
20121125,143,3,1,67,939,3
20121126,143,3,1,41,3799,1
20121130,143,3,1,68,3799,1
20121130,143,3,1,67,3529,1
20121201,143,3,1,64,3737,2
20121203,143,3,1,67,3725,1
20121205,143,3,1,73,3673,1
20121206,143,3,1,76,3673,4
20121214,143,3,1,58,3799,1
20121211,143,3,1,67,3737,2
20121210,143,3,1,67,1997,1
20130108,143,3,1,41,3822,1
20130109,143,3,1,41,3725,1
20130114,143,3,1,87,3529,1
20130117,143,3,1,67,1997,1
20130112,143,3,1,41,3798,1
20130116,143,3,1,41,3827,1
20130116,143,3,1,41,3799,1
20130124,143,3,1,67,3529,1
20130127,143,3,1,67,939,1
20130122,143,3,1,87,3828,2
20120125,144,3,1,67,3655,1
20120213,144,3,1,41,3737,1
20120213,144,3,1,69,3737,1
20120216,144,3,1,67,3737,1
20120327,144,3,1,67,3752,1
20120510,144,3,1,41,3737,1
20120518,144,3,1,67,939,1
20120526,144,3,1,67,3632,1
20120625,144,3,1,67,3737,1
20120713,144,3,1,71,939,1
20120921,144,3,1,67,500,1
20130118,144,3,1,67,3725,1
20130123,153,3,1,41,3799,1
20130201,153,3,1,67,3834,3
20130201,153,3,1,78,3725,1
20130201,153,3,1,67,939,1
20120111,143,3,1,67,1997,1
20120113,143,3,1,67,3673,3
20120118,143,3,1,67,3632,1
20120117,143,3,1,67,1949,2
20120208,143,3,1,41,3752,1
20120209,143,3,1,67,3737,1
20120210,143,3,1,67,3753,2
20120210,143,3,1,67,939,1
20120126,143,3,1,77,3693,1
20120127,143,3,1,41,3529,1
20120125,143,3,1,67,3754,1
20120125,143,3,1,67,939,2
20120309,143,3,1,67,3673,1
20120212,143,3,1,69,3529,1
20120216,143,3,1,64,3529,1
20120214,143,3,1,67,3655,1
20120216,143,3,1,87,3771,1
20120213,143,3,1,87,3673,3
20120222,143,3,1,67,1997,3
20120223,143,3,1,67,3632,2
20120221,143,3,1,73,3655,1
20120228,143,3,1,67,3737,1
20120229,143,3,1,67,3737,3
20120228,143,3,1,67,3752,1
20120302,143,3,1,88,3529,1
20120302,143,3,1,67,3632,1
20120229,143,3,1,67,939,1
20120601,143,3,1,79,3693,1
20120316,143,3,1,67,1949,1
20120316,143,3,1,70,939,1
20120608,143,3,1,67,3737,1
20120604,143,3,1,67,1997,3
20120608,143,3,1,67,939,1
20120608,143,3,1,71,939,1
20120613,143,3,1,77,3673,2
20120329,143,3,1,67,3529,1
20120327,143,3,1,67,3693,1
20120330,143,3,1,67,3632,2
20120614,143,3,1,67,939,1
20120412,143,3,1,67,3737,1
20120404,143,3,1,41,3693,1
20120403,143,3,1,41,1997,1
20120420,143,3,1,67,3673,1
20120415,143,3,1,67,3737,1
20120427,143,3,1,67,3673,1
20120430,143,3,1,67,1997,1
20120426,143,3,1,79,3529,1
20120430,143,3,1,67,3529,1
20120423,143,3,1,70,3529,1
20120430,143,3,1,70,3529,1
20120502,143,3,1,67,3693,1
20120504,143,3,1,67,3737,1
20120511,143,3,1,67,3752,1
20120508,143,3,1,67,3529,3
20120510,143,3,1,69,3673,1
20120510,143,3,1,41,3737,3
20120511,143,3,1,70,3632,1
20120515,143,3,1,67,3693,1
20120516,143,3,1,88,3673,3
20120517,143,3,1,67,3737,1
20120522,143,3,1,64,3529,2
20120525,143,3,1,67,3693,2
20120801,143,3,1,67,3673,3
20120601,143,3,1,64,3529,1
20120801,143,3,1,76,3529,1
20120803,143,3,1,86,3693,1
20120802,143,3,1,67,939,1
20120801,143,3,1,67,3802,1
20120810,143,3,1,67,3737,1
20120809,143,3,1,67,3801,2
20120625,143,3,1,67,3693,3
20120629,143,3,1,67,3529,1
20120626,143,3,1,64,3792,1
20120703,143,3,1,73,3693,1
20120703,143,3,1,41,3673,1
20120706,143,3,1,71,3529,1
20120706,143,3,1,77,3737,1
20120709,143,3,1,86,3792,1
20120723,143,3,1,67,3529,5
20120724,143,3,1,87,1997,2
20120724,143,3,1,67,3693,1
20120725,143,3,1,41,3799,1
20120930,143,3,1,41,3673,1
20120724,143,3,1,41,939,1
20121004,143,3,1,67,500,1
20121002,143,3,1,77,3529,2
20121005,143,3,1,75,3673,6
20121003,143,3,1,67,3737,1
20121011,143,3,1,71,3693,1
20121010,143,3,1,82,3725,1
20121011,143,3,1,76,3693,4
20121008,143,3,1,83,3816,2
20120814,143,3,1,70,3673,2
20120813,143,3,1,71,3673,5
20120813,143,3,1,67,1997,2
20121011,143,3,1,67,3737,1
20120815,143,3,1,82,3725,3
20120822,143,3,1,67,3673,5
20120822,143,3,1,67,3693,3
20120821,143,3,1,67,3693,1
20120823,143,3,1,67,939,3
20120821,143,3,1,41,3799,1
20120822,143,3,1,41,3798,1
20120824,143,3,1,86,3725,1
20120831,143,3,1,75,3725,2
20120830,143,3,1,41,3799,1
20120830,143,3,1,67,3725,1
20120930,143,3,1,67,3673,1
20120829,143,3,1,89,3529,1
20120828,143,3,1,79,3737,1
20120901,143,3,1,41,3798,1
20120913,143,3,1,78,3725,1
20120910,143,3,1,67,1997,1
20120916,143,3,1,41,3529,1
20120916,143,3,1,86,1997,1
20120919,143,3,1,69,3529,1
20120921,143,3,1,64,3529,1
20120921,143,3,1,67,1997,1
20120921,143,3,1,67,3737,3
20120920,143,3,1,77,3673,1
20120918,143,3,1,67,3673,2
20120921,143,3,1,41,3798,2
20120926,143,3,1,77,3693,1
20120924,143,3,1,67,3673,1
20120925,143,3,1,76,3673,3
