fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120806,321,5,4,7,3110,2
20120805,321,5,4,7,3110,3
20120730,321,5,4,1,3110,1
20120803,321,5,4,1,2017,5
20120806,321,5,4,2,2006,1
20120801,321,5,4,4,2552,1
20120731,321,5,4,4,2554,1
20120806,321,5,4,4,2554,1
20120808,321,5,4,4,2529,6
20120812,321,5,4,7,2006,3
20120812,321,5,4,7,3110,1
20120810,321,5,4,4,2552,1
20120814,321,5,1,78,750,1
20120814,321,5,4,4,2556,1
20120817,321,5,4,1,2017,3
20120828,321,5,4,1,2164,4
20120828,321,5,4,1,3110,1
20120906,321,5,4,1,2557,1
20120907,321,5,4,7,2017,2
20120906,321,5,4,1,3110,1
20120911,321,5,4,1,2541,1
20120912,321,5,4,1,2565,1
20120919,321,5,4,1,2164,1
20120921,321,5,4,1,2564,1
20120922,321,5,4,1,2563,3
20120920,321,5,4,1,2563,1
20120922,321,5,4,8,2552,1
20120925,321,5,4,1,2006,1
20120929,321,5,4,1,2164,1
20120930,321,5,4,1,3110,1
20121004,321,5,4,6,2006,1
20121005,321,5,4,1,2298,1
20121005,321,5,4,6,2017,3
20121003,321,5,4,1,2563,1
20121005,321,5,4,4,2017,1
20121008,321,5,1,78,2555,1
20121011,321,5,4,1,2563,1
20121012,321,5,4,1,2563,1
20121011,321,5,4,1,2298,1
20121020,321,5,4,1,2006,2
20121020,321,5,4,1,2567,1
20121019,321,5,4,4,2164,1
20121025,321,5,4,1,2564,1
20121025,321,5,4,1,2568,1
20121024,321,5,4,1,2568,3
20121026,321,5,4,1,2298,1
20120403,143,5,4,1,2164,3
20120403,143,5,4,1,49,2
20120503,143,5,4,1,49,6
20120120,143,5,1,78,49,1
20120210,143,5,4,1,49,2
20120204,143,5,1,78,2476,1
20120221,143,5,4,1,2298,1
20120229,143,5,4,1,2164,1
20120511,143,5,4,1,49,2
20120526,143,5,4,1,2164,5
20120216,144,5,4,1,2476,1
20170914,193,5,4,1,2848,2
20170919,193,5,4,1,2847,1
20171115,193,5,4,1,2859,1
20171215,193,5,4,1,2861,1
20170726,194,5,4,1,2847,1
20180116,203,5,4,1,2861,1
20180208,203,5,4,4,2869,1
20180213,203,5,4,1,2870,1
20180215,203,5,4,1,2862,1
20120331,321,5,4,5,3110,1
20120308,321,5,4,1,3110,2
20120307,321,5,4,2,2006,1
20120306,321,5,4,2,2525,1
20120306,321,5,4,2,2524,1
20120313,321,5,4,2,2006,1
20120313,321,5,4,1,2006,2
20120314,321,5,4,3,2017,1
20120313,321,5,4,1,3110,2
20120317,321,5,1,91,3110,1
20120323,321,5,4,1,2017,1
20120320,321,5,4,2,3110,3
20120321,321,5,4,2,2017,2
20120322,321,5,4,1,2017,1
20120323,321,5,4,1,2524,1
20120331,321,5,4,5,2511,2
20120403,321,5,4,1,2531,1
20120328,321,5,4,1,2524,1
20120403,321,5,1,91,2525,1
20120403,321,5,4,5,2527,1
20120329,321,5,4,2,2524,3
20120327,321,5,4,1,2017,2
20120413,321,5,4,4,750,1
20120411,321,5,4,1,2524,1
20120407,321,5,4,4,2523,1
20120419,321,5,4,5,2531,2
20120417,321,5,4,6,2511,1
20120430,321,5,4,2,3110,2
20120503,321,5,4,1,2006,1
20120505,321,5,4,1,2017,1
20120601,321,5,1,78,750,1
20120601,321,5,4,1,2528,1
20120531,321,5,4,3,2511,1
20120529,321,5,4,1,2164,1
20120605,321,5,4,1,750,1
20120605,321,5,4,1,2298,2
20120607,321,5,4,1,2017,1
20120609,321,5,4,3,2017,1
20120610,321,5,4,2,2017,1
20120110,321,5,4,8,3110,2
20120109,321,5,4,1,2006,1
20120112,321,5,4,8,2017,2
20120106,321,5,4,5,750,1
20120123,321,5,4,5,2503,1
20120121,321,5,4,5,2502,2
20120118,321,5,4,4,2017,1
20120126,321,5,4,12,2006,2
20120126,321,5,4,6,3110,1
20120202,321,5,4,1,3110,1
20120203,321,5,4,1,2017,5
20120209,321,5,4,1,2511,1
20120214,321,5,4,1,2279,1
20120219,321,5,4,4,750,1
20120223,321,5,4,1,2517,1
20120226,321,5,4,2,2017,1
20120223,321,5,4,2,2006,2
20120303,321,5,4,1,750,1
20120302,321,5,4,2,2017,1
20120303,321,5,4,2,2017,1
20120303,321,5,4,8,3110,4
20120608,321,5,4,1,49,4
20120704,321,5,4,3,2541,2
20120704,321,5,4,1,2006,1
20120707,321,5,4,5,2298,1
20120704,321,5,4,4,2507,1
20120707,321,5,4,4,2529,1
